age,weight(kg),height(m),gender,goal,diet_plan
43,92,1.86,M,lose weight,Low Calorie
38,93,1.85,F,lose weight,Low Calorie
28,35,1.78,F,gain weight,High Protein
10,30,1.2,F,maintain weight,Maintain Weight
34,67,1.71,F,lose weight,Low Calorie
28,32,1.29,M,maintain weight,Maintain Weight
36,66,1.36,M,gain weight,High Protein
33,30,1.3,M,maintain weight,Low Calorie
10,31,1.2,M,maintain weight,Lose Weight
10,43,1.28,M,lose weight,Low Calorie
16,30,1.2,M,gain weight,High Protein
34,43,1.32,M,gain weight,High Protein
12,86,1.89,M,lose weight,Low Calorie
29,30,1.23,F,lose weight,Lose Weight
34,83,1.8,M,gain weight,High Protein
10,30,1.3,M,gain weight,High Protein
10,33,1.37,F,lose weight,Lose Weight
36,93,1.23,F,maintain weight,Lose Weight
10,36,1.21,F,maintain weight,Lose Weight
10,34,1.2,M,maintain weight,High Protein
34,30,1.57,F,lose weight,High Protein
31,35,1.21,M,lose weight,Low Calorie
38,72,1.56,M,gain weight,Low Calorie
12,30,1.28,F,maintain weight,Low Calorie
39,37,1.27,M,maintain weight,Maintain Weight
12,30,1.31,M,gain weight,Low Calorie
10,30,1.25,M,maintain weight,High Protein
32,37,1.89,F,lose weight,Lose Weight
10,30,1.29,F,maintain weight,Low Calorie
27,32,1.23,F,maintain weight,Maintain Weight
11,37,1.37,M,gain weight,Low Calorie
11,68,1.71,F,lose weight,Low Calorie
33,30,1.34,F,gain weight,High Protein
13,42,1.24,M,maintain weight,High Protein
33,31,1.26,M,maintain weight,Low Calorie
31,37,1.82,F,lose weight,Low Calorie
37,30,1.21,M,gain weight,High Protein
10,31,1.2,F,lose weight,Low Calorie
14,30,1.38,F,lose weight,Low Calorie
34,70,1.85,F,lose weight,Low Calorie
10,64,1.27,F,lose weight,Lose Weight
11,40,1.26,M,lose weight,Low Calorie
31,30,1.27,M,gain weight,High Protein
12,40,1.2,M,maintain weight,Maintain Weight
32,66,1.56,F,lose weight,Low Calorie
37,70,1.89,M,lose weight,Low Calorie
10,37,1.26,F,maintain weight,High Protein
16,30,1.24,M,maintain weight,High Protein
10,76,1.61,F,lose weight,Low Calorie
10,32,1.2,M,maintain weight,High Protein
10,34,1.25,F,lose weight,Low Calorie
38,40,1.25,M,gain weight,High Protein
12,32,1.24,M,maintain weight,High Protein
35,35,1.26,M,gain weight,High Protein
10,31,1.24,M,gain weight,High Protein
42,64,1.46,M,maintain weight,Low Calorie
10,30,1.25,M,gain weight,High Protein
32,40,1.32,M,gain weight,High Protein
34,34,1.21,M,gain weight,Low Calorie
10,30,1.21,M,gain weight,High Protein
10,30,1.2,M,gain weight,High Protein
10,30,1.24,F,lose weight,Low Calorie
10,32,1.21,M,gain weight,High Protein
41,35,1.28,M,maintain weight,Low Calorie
32,37,1.25,M,gain weight,High Protein
32,35,1.2,F,lose weight,Lose Weight
10,30,1.27,F,lose weight,Lose Weight
37,34,1.31,F,lose weight,Low Calorie
35,67,1.64,F,lose weight,Low Calorie
10,30,1.23,M,maintain weight,Low Calorie
32,38,1.3,M,lose weight,High Protein
32,30,1.28,F,lose weight,Lose Weight
13,31,1.21,M,lose weight,High Protein
29,30,1.29,M,gain weight,High Protein
10,30,1.24,F,lose weight,Low Calorie
10,36,1.2,M,maintain weight,High Protein
10,40,1.2,M,maintain weight,Maintain Weight
37,81,1.31,M,lose weight,Low Calorie
35,74,1.8,M,lose weight,Low Calorie
35,30,1.64,M,gain weight,High Protein
36,73,1.22,F,lose weight,Low Calorie
16,31,1.27,M,maintain weight,High Protein
36,44,1.34,F,lose weight,Low Calorie
10,30,1.26,F,lose weight,Low Calorie
10,30,1.3,M,gain weight,High Protein
10,33,1.2,M,gain weight,High Protein
10,30,1.3,F,lose weight,Low Calorie
29,75,1.75,F,lose weight,Low Calorie
12,30,1.25,M,gain weight,High Protein
36,77,1.82,F,lose weight,Low Calorie
29,40,1.28,M,maintain weight,Low Calorie
19,35,1.2,M,gain weight,Lose Weight
34,33,1.24,M,maintain weight,High Protein
31,36,1.2,M,maintain weight,Maintain Weight
15,35,1.23,M,maintain weight,Low Calorie
11,40,1.29,F,lose weight,Low Calorie
29,37,1.3,M,gain weight,High Protein
10,30,1.24,F,lose weight,Lose Weight
35,30,1.2,M,gain weight,High Protein
13,30,1.28,M,gain weight,High Protein
33,33,1.76,F,lose weight,Lose Weight
32,80,1.83,F,lose weight,Low Calorie
33,75,1.89,M,lose weight,High Protein
34,36,1.3,F,lose weight,Low Calorie
10,62,1.71,M,lose weight,Low Calorie
12,30,1.2,M,maintain weight,Maintain Weight
34,60,1.82,F,lose weight,Low Calorie
41,68,1.89,F,lose weight,Low Calorie
35,37,1.23,M,maintain weight,High Protein
33,37,1.3,M,gain weight,Maintain Weight
10,41,1.2,M,maintain weight,Maintain Weight
10,30,1.24,M,gain weight,High Protein
42,41,1.39,M,lose weight,Low Calorie
38,35,1.26,M,maintain weight,Maintain Weight
39,44,1.29,M,maintain weight,Maintain Weight
14,34,1.24,F,gain weight,Low Calorie
25,33,1.32,F,lose weight,Lose Weight
10,35,1.2,M,lose weight,Lose Weight
34,66,1.21,F,lose weight,Low Calorie
37,31,1.72,F,lose weight,Low Calorie
10,30,1.31,F,lose weight,Low Calorie
35,31,1.84,M,lose weight,Low Calorie
32,86,1.82,F,lose weight,Low Calorie
26,32,1.31,F,lose weight,Lose Weight
28,40,1.3,F,lose weight,Low Calorie
42,64,1.63,F,lose weight,Low Calorie
11,71,1.29,F,lose weight,Low Calorie
10,35,1.76,M,lose weight,Low Calorie
14,38,1.2,M,maintain weight,Maintain Weight
32,40,1.82,M,gain weight,High Protein
31,32,1.25,M,lose weight,Low Calorie
38,40,1.77,M,gain weight,High Protein
42,40,1.26,M,gain weight,Low Calorie
11,33,1.25,M,gain weight,High Protein
15,30,1.24,M,maintain weight,Low Calorie
28,90,1.75,F,lose weight,Low Calorie
37,39,1.77,M,lose weight,Low Calorie
38,59,1.68,M,lose weight,Low Calorie
38,31,1.2,M,lose weight,High Protein
10,30,1.2,M,maintain weight,Maintain Weight
10,30,1.28,M,gain weight,High Protein
37,77,1.8,F,lose weight,Low Calorie
33,30,1.3,F,lose weight,Lose Weight
34,36,1.29,M,maintain weight,Low Calorie
32,69,1.68,F,lose weight,Low Calorie
10,30,1.27,F,lose weight,Lose Weight
30,34,1.81,F,lose weight,High Protein
40,69,1.62,M,lose weight,Low Calorie
30,73,1.67,F,lose weight,Low Calorie
33,91,1.84,F,lose weight,Low Calorie
10,30,1.27,M,gain weight,Maintain Weight
16,30,1.21,M,maintain weight,High Protein
31,33,1.89,M,lose weight,Low Calorie
12,33,1.87,M,lose weight,Low Calorie
31,39,1.89,F,lose weight,Low Calorie
10,30,1.2,M,maintain weight,Maintain Weight
30,36,1.23,M,gain weight,High Protein
11,32,1.2,M,lose weight,Low Calorie
12,30,1.2,M,maintain weight,High Protein
14,31,1.34,M,lose weight,Low Calorie
35,93,1.23,M,lose weight,Low Calorie
34,33,1.22,M,gain weight,High Protein
10,32,1.23,M,maintain weight,High Protein
11,30,1.29,M,gain weight,High Protein
30,36,1.31,F,lose weight,Low Calorie
11,36,1.31,M,gain weight,High Protein
10,30,1.3,F,maintain weight,High Protein
41,67,1.29,M,gain weight,Low Calorie
10,30,1.2,M,gain weight,High Protein
36,35,1.26,M,maintain weight,Low Calorie
10,32,1.29,M,maintain weight,High Protein
11,40,1.23,M,maintain weight,Low Calorie
32,93,1.7,M,lose weight,Low Calorie
32,45,1.32,M,lose weight,Low Calorie
26,30,1.24,F,lose weight,Lose Weight
28,85,1.72,F,lose weight,Lose Weight
11,41,1.89,F,lose weight,Lose Weight
34,31,1.28,F,lose weight,Low Calorie
10,33,1.23,F,lose weight,Lose Weight
31,36,1.3,M,gain weight,High Protein
10,31,1.24,F,lose weight,Low Calorie
32,43,1.87,M,gain weight,Low Calorie
24,63,1.6,F,lose weight,Low Calorie
13,32,1.23,M,maintain weight,High Protein
35,39,1.77,M,gain weight,High Protein
10,34,1.2,M,maintain weight,Maintain Weight
26,38,1.28,F,lose weight,Low Calorie
38,38,1.82,M,lose weight,Low Calorie
16,30,1.2,M,maintain weight,Maintain Weight
10,30,1.22,M,lose weight,Low Calorie
10,33,1.21,F,lose weight,Lose Weight
42,38,1.75,M,lose weight,Low Calorie
10,30,1.2,M,maintain weight,Maintain Weight
28,74,1.76,M,lose weight,Low Calorie
37,43,1.25,M,maintain weight,Maintain Weight
33,30,1.28,M,maintain weight,Low Calorie
15,31,1.24,M,maintain weight,Low Calorie
28,32,1.89,M,gain weight,High Protein
13,58,1.32,F,lose weight,Low Calorie
10,30,1.2,M,maintain weight,Maintain Weight
37,60,1.86,M,lose weight,Low Calorie
10,30,1.25,M,gain weight,High Protein
30,31,1.28,F,lose weight,Low Calorie
10,30,1.2,M,gain weight,High Protein
34,69,1.79,F,lose weight,Low Calorie
25,74,1.65,F,lose weight,Lose Weight
34,39,1.73,F,lose weight,Low Calorie
29,37,1.26,M,gain weight,High Protein
27,30,1.24,F,lose weight,Lose Weight
31,71,1.61,F,lose weight,Low Calorie
43,44,1.34,M,lose weight,Low Calorie
10,30,1.27,M,lose weight,Low Calorie
10,40,1.24,F,lose weight,Lose Weight
34,39,1.87,F,lose weight,Low Calorie
13,88,1.31,M,maintain weight,Low Calorie
10,33,1.2,M,maintain weight,Maintain Weight
32,63,1.81,M,lose weight,Low Calorie
10,38,1.32,M,lose weight,Low Calorie
33,30,1.61,M,lose weight,Low Calorie
25,44,1.28,F,lose weight,Low Calorie
10,30,1.2,F,gain weight,High Protein
30,60,1.26,M,lose weight,Low Calorie
10,33,1.3,M,gain weight,High Protein
31,88,1.84,M,lose weight,Lose Weight
13,30,1.24,M,maintain weight,High Protein
33,66,1.8,F,lose weight,Low Calorie
37,77,1.55,M,gain weight,Low Calorie
19,30,1.27,M,maintain weight,Low Calorie
16,38,1.29,M,lose weight,Low Calorie
40,79,1.83,M,lose weight,Low Calorie
14,31,1.35,M,gain weight,High Protein
10,30,1.21,M,gain weight,High Protein
10,30,1.22,M,maintain weight,High Protein
10,30,1.2,M,maintain weight,Low Calorie
33,85,1.75,F,lose weight,Low Calorie
37,81,1.85,F,lose weight,Low Calorie
33,73,1.89,M,lose weight,Low Calorie
45,69,1.28,M,lose weight,Low Calorie
15,35,1.25,F,lose weight,Low Calorie
12,43,1.3,M,gain weight,High Protein
10,32,1.23,F,maintain weight,Maintain Weight
34,30,1.32,F,lose weight,Maintain Weight
40,32,1.35,M,lose weight,Low Calorie
32,65,1.68,F,lose weight,Low Calorie
12,36,1.2,F,maintain weight,Maintain Weight
31,34,1.2,M,maintain weight,High Protein
10,31,1.2,M,maintain weight,Maintain Weight
40,71,1.67,M,gain weight,High Protein
36,93,1.25,M,lose weight,Lose Weight
34,79,1.89,M,lose weight,Low Calorie
30,84,1.85,F,lose weight,Low Calorie
32,79,1.3,M,lose weight,Low Calorie
36,89,1.84,M,lose weight,Low Calorie
10,30,1.23,M,maintain weight,High Protein
12,37,1.3,M,lose weight,Low Calorie
32,64,1.87,M,lose weight,Low Calorie
10,30,1.3,M,maintain weight,Maintain Weight
37,74,1.73,F,lose weight,Low Calorie
27,41,1.2,M,maintain weight,Maintain Weight
30,30,1.27,M,gain weight,High Protein
11,32,1.29,M,gain weight,High Protein
36,80,1.75,M,gain weight,High Protein
36,73,1.8,F,lose weight,Low Calorie
36,40,1.79,M,gain weight,High Protein
38,42,1.85,F,lose weight,Low Calorie
33,81,1.77,M,lose weight,Low Calorie
10,36,1.31,M,maintain weight,High Protein
11,35,1.2,M,maintain weight,Maintain Weight
34,60,1.49,F,lose weight,Low Calorie
35,35,1.35,M,lose weight,Low Calorie
32,38,1.74,M,gain weight,High Protein
34,68,1.64,F,lose weight,Low Calorie
28,30,1.29,M,gain weight,High Protein
34,42,1.2,F,maintain weight,Maintain Weight
37,30,1.31,F,lose weight,Low Calorie
29,30,1.34,M,lose weight,Low Calorie
39,38,1.27,M,lose weight,Low Calorie
11,36,1.22,M,gain weight,High Protein
31,80,1.81,F,lose weight,Low Calorie
28,78,1.7,F,lose weight,Low Calorie
36,36,1.82,M,lose weight,Low Calorie
32,43,1.27,M,maintain weight,High Protein
37,30,1.24,M,maintain weight,Low Calorie
38,67,1.35,M,lose weight,Low Calorie
32,33,1.2,M,maintain weight,Maintain Weight
16,30,1.2,M,gain weight,High Protein
10,30,1.23,F,lose weight,Low Calorie
25,30,1.84,F,lose weight,Lose Weight
29,33,1.28,M,gain weight,High Protein
39,83,1.67,F,lose weight,Low Calorie
10,31,1.67,F,lose weight,Lose Weight
29,76,1.22,M,maintain weight,Maintain Weight
12,30,1.26,M,maintain weight,Maintain Weight
34,30,1.57,M,maintain weight,High Protein
33,67,1.65,M,maintain weight,High Protein
27,69,1.58,F,lose weight,Low Calorie
10,42,1.2,M,gain weight,High Protein
18,34,1.6,M,lose weight,Low Calorie
33,30,1.28,F,lose weight,Low Calorie
10,39,1.3,M,maintain weight,High Protein
26,30,1.29,F,lose weight,Low Calorie
40,65,1.78,M,lose weight,Low Calorie
37,42,1.34,M,lose weight,Low Calorie
38,68,1.64,M,gain weight,Low Calorie
12,36,1.26,M,gain weight,High Protein
32,66,1.78,M,lose weight,Low Calorie
29,38,1.68,F,lose weight,Low Calorie
10,77,1.21,F,lose weight,Low Calorie
31,75,1.67,F,lose weight,Low Calorie
40,57,1.7,F,lose weight,Low Calorie
25,32,1.24,F,lose weight,Lose Weight
10,30,1.28,F,lose weight,Lose Weight
10,30,1.24,M,gain weight,High Protein
13,35,1.2,M,maintain weight,High Protein
26,30,1.2,F,lose weight,Lose Weight
12,31,1.3,F,gain weight,High Protein
10,30,1.22,M,maintain weight,Maintain Weight
30,38,1.2,F,lose weight,Low Calorie
32,78,1.62,M,lose weight,Lose Weight
33,75,1.69,F,lose weight,Low Calorie
10,36,1.27,F,lose weight,Maintain Weight
10,31,1.2,M,lose weight,Lose Weight
34,36,1.24,M,gain weight,High Protein
10,30,1.3,M,gain weight,High Protein
29,75,1.23,M,maintain weight,Maintain Weight
28,34,1.81,F,lose weight,Lose Weight
10,30,1.32,F,gain weight,High Protein
35,83,1.81,F,lose weight,Low Calorie
12,34,1.31,F,gain weight,High Protein
10,32,1.25,M,lose weight,Lose Weight
38,34,1.41,F,lose weight,Low Calorie
36,38,1.82,M,maintain weight,Low Calorie
12,34,1.7,M,lose weight,Lose Weight
37,78,1.74,M,lose weight,Low Calorie
33,38,1.23,M,lose weight,Low Calorie
26,53,1.78,F,lose weight,Low Calorie
32,82,1.23,F,lose weight,Lose Weight
34,60,1.79,M,lose weight,Low Calorie
10,33,1.22,M,maintain weight,Maintain Weight
37,60,1.25,F,lose weight,Low Calorie
39,35,1.86,M,lose weight,Low Calorie
28,33,1.34,M,gain weight,High Protein
11,31,1.33,M,maintain weight,Low Calorie
31,76,1.35,F,lose weight,Low Calorie
14,37,1.2,M,maintain weight,Maintain Weight
11,33,1.24,M,maintain weight,High Protein
34,39,1.28,F,lose weight,Maintain Weight
34,76,1.67,F,lose weight,Lose Weight
10,31,1.53,F,maintain weight,Low Calorie
13,35,1.22,M,gain weight,High Protein
30,41,1.24,F,lose weight,High Protein
10,30,1.2,M,maintain weight,Maintain Weight
10,30,1.29,M,gain weight,High Protein
28,78,1.87,F,lose weight,Lose Weight
40,65,1.87,F,lose weight,Low Calorie
10,75,1.32,F,lose weight,Low Calorie
42,30,1.25,M,lose weight,Low Calorie
10,30,1.21,M,gain weight,High Protein
33,37,1.27,M,gain weight,High Protein
10,30,1.23,M,maintain weight,Low Calorie
13,32,1.2,M,maintain weight,Maintain Weight
23,30,1.32,F,lose weight,Low Calorie
29,35,1.28,M,gain weight,High Protein
29,30,1.69,F,lose weight,Low Calorie
10,42,1.23,M,maintain weight,Low Calorie
12,32,1.22,M,maintain weight,Low Calorie
36,34,1.3,M,maintain weight,Maintain Weight
10,30,1.22,M,gain weight,High Protein
10,35,1.33,F,lose weight,Lose Weight
31,73,1.81,F,lose weight,High Protein
39,38,1.2,M,gain weight,Maintain Weight
27,74,1.66,F,lose weight,Low Calorie
44,81,1.67,M,lose weight,Low Calorie
30,38,1.72,M,lose weight,Lose Weight
32,72,1.72,M,lose weight,Low Calorie
10,41,1.2,M,lose weight,High Protein
37,31,1.22,M,lose weight,Low Calorie
29,30,1.27,M,gain weight,High Protein
10,32,1.28,M,gain weight,High Protein
11,30,1.2,M,maintain weight,High Protein
12,33,1.25,M,maintain weight,Low Calorie
29,68,1.74,F,lose weight,Low Calorie
34,73,1.75,M,maintain weight,High Protein
10,30,1.2,M,maintain weight,Maintain Weight
33,35,1.6,M,maintain weight,Low Calorie
10,68,1.89,M,gain weight,High Protein
10,36,1.7,M,lose weight,Low Calorie
35,43,1.26,M,lose weight,Low Calorie
13,30,1.22,M,maintain weight,Maintain Weight
13,40,1.31,M,maintain weight,Low Calorie
35,36,1.36,M,gain weight,High Protein
37,73,1.89,M,lose weight,Low Calorie
35,81,1.26,M,gain weight,Low Calorie
33,87,1.79,F,lose weight,Low Calorie
37,84,1.64,F,lose weight,Low Calorie
38,66,1.86,M,lose weight,Low Calorie
10,37,1.25,M,lose weight,Low Calorie
33,68,1.83,F,lose weight,Low Calorie
10,32,1.2,M,maintain weight,Maintain Weight
10,30,1.2,M,gain weight,High Protein
27,65,1.73,F,lose weight,Low Calorie
32,89,1.86,F,lose weight,Low Calorie
26,38,1.21,F,lose weight,Lose Weight
33,30,1.25,M,gain weight,High Protein
25,39,1.2,M,lose weight,Lose Weight
10,32,1.26,F,lose weight,Low Calorie
28,93,1.25,F,lose weight,Low Calorie
42,37,1.23,M,maintain weight,Maintain Weight
11,37,1.2,M,maintain weight,Maintain Weight
35,35,1.28,M,maintain weight,High Protein
16,65,1.23,M,maintain weight,Low Calorie
10,33,1.2,M,maintain weight,Maintain Weight
39,35,1.25,M,lose weight,Low Calorie
37,61,1.67,M,lose weight,Low Calorie
10,30,1.24,M,maintain weight,High Protein
33,84,1.75,F,lose weight,Low Calorie
10,33,1.2,F,maintain weight,Maintain Weight
40,71,1.63,M,lose weight,Low Calorie
10,30,1.74,F,lose weight,Low Calorie
10,37,1.28,M,lose weight,Low Calorie
40,40,1.52,M,lose weight,Low Calorie
36,64,1.8,M,lose weight,Low Calorie
29,93,1.58,M,lose weight,Low Calorie
35,30,1.33,M,lose weight,High Protein
10,30,1.2,F,maintain weight,Lose Weight
37,30,1.26,M,maintain weight,High Protein
15,37,1.22,F,maintain weight,Low Calorie
11,32,1.3,M,lose weight,Low Calorie
40,30,1.2,M,maintain weight,High Protein
10,64,1.7,F,lose weight,Lose Weight
35,30,1.2,M,maintain weight,Low Calorie
10,36,1.2,M,maintain weight,Maintain Weight
38,80,1.74,F,lose weight,Low Calorie
10,39,1.24,M,maintain weight,High Protein
10,42,1.5,F,lose weight,Lose Weight
44,59,1.67,M,lose weight,Low Calorie
10,31,1.21,M,lose weight,Low Calorie
10,38,1.28,F,lose weight,Low Calorie
32,69,1.63,M,lose weight,Low Calorie
13,30,1.23,M,gain weight,High Protein
16,30,1.25,M,maintain weight,High Protein
33,38,1.7,F,lose weight,Low Calorie
24,60,1.79,F,lose weight,Low Calorie
39,35,1.3,F,lose weight,Low Calorie
10,30,1.24,M,maintain weight,Maintain Weight
27,38,1.61,M,gain weight,High Protein
28,42,1.88,M,gain weight,High Protein
10,32,1.2,M,maintain weight,Maintain Weight
39,70,1.7,M,lose weight,Low Calorie
35,35,1.31,M,maintain weight,Low Calorie
33,62,1.81,F,lose weight,Low Calorie
10,45,1.21,M,maintain weight,Maintain Weight
35,87,1.55,F,lose weight,Low Calorie
33,78,1.3,M,lose weight,High Protein
36,30,1.28,F,gain weight,High Protein
32,75,1.25,M,maintain weight,Maintain Weight
27,83,1.59,F,lose weight,Lose Weight
34,81,1.71,F,lose weight,Low Calorie
10,30,1.2,F,lose weight,Lose Weight
33,32,1.26,M,lose weight,High Protein
12,30,1.21,M,gain weight,Low Calorie
29,33,1.22,F,lose weight,Low Calorie
10,35,1.21,M,maintain weight,Maintain Weight
10,30,1.2,M,maintain weight,Maintain Weight
15,30,1.3,F,lose weight,Low Calorie
28,30,1.74,F,lose weight,Low Calorie
14,60,1.29,F,lose weight,Low Calorie
30,62,1.75,F,lose weight,Low Calorie
40,87,1.78,M,lose weight,Low Calorie
34,78,1.56,F,lose weight,Low Calorie
17,41,1.24,M,lose weight,Low Calorie
10,32,1.2,M,maintain weight,Low Calorie
41,36,1.31,M,gain weight,High Protein
19,42,1.29,M,maintain weight,High Protein
42,76,1.76,M,lose weight,Low Calorie
38,30,1.24,F,lose weight,Low Calorie
10,37,1.2,F,lose weight,Lose Weight
37,33,1.74,M,maintain weight,High Protein
29,32,1.34,M,gain weight,High Protein
33,55,1.72,F,lose weight,Low Calorie
33,92,1.59,F,lose weight,Low Calorie
33,58,1.82,F,lose weight,Low Calorie
30,30,1.3,M,lose weight,Low Calorie
42,79,1.61,M,lose weight,Low Calorie
33,36,1.3,M,gain weight,High Protein
32,39,1.25,M,gain weight,High Protein
17,37,1.23,M,maintain weight,Maintain Weight
20,31,1.27,M,maintain weight,Low Calorie
10,30,1.22,M,maintain weight,High Protein
12,34,1.27,M,gain weight,High Protein
10,30,1.2,M,gain weight,High Protein
39,78,1.26,M,lose weight,Low Calorie
32,42,1.63,M,maintain weight,Maintain Weight
29,30,1.31,M,gain weight,High Protein
34,43,1.26,M,maintain weight,Low Calorie
35,33,1.26,M,maintain weight,Low Calorie
10,32,1.89,M,lose weight,Low Calorie
10,30,1.2,M,maintain weight,High Protein
42,66,1.39,F,lose weight,Low Calorie
10,37,1.23,M,lose weight,High Protein
16,30,1.28,M,gain weight,High Protein
35,68,1.32,M,lose weight,Low Calorie
32,30,1.24,M,gain weight,High Protein
10,34,1.2,M,maintain weight,Maintain Weight
14,32,1.27,M,gain weight,High Protein
14,30,1.26,M,lose weight,Low Calorie
28,30,1.26,F,lose weight,Lose Weight
12,31,1.2,M,lose weight,Low Calorie
10,33,1.28,M,maintain weight,High Protein
10,34,1.2,F,lose weight,Low Calorie
31,36,1.25,M,gain weight,High Protein
28,37,1.28,F,lose weight,Lose Weight
35,32,1.78,M,gain weight,High Protein
11,36,1.22,M,maintain weight,High Protein
42,86,1.7,M,lose weight,Low Calorie
37,31,1.24,M,gain weight,Maintain Weight
10,30,1.22,M,maintain weight,High Protein
13,30,1.2,M,maintain weight,Low Calorie
10,31,1.21,M,gain weight,High Protein
10,30,1.24,M,maintain weight,High Protein
12,35,1.32,M,lose weight,Low Calorie
13,41,1.2,M,maintain weight,Maintain Weight
35,30,1.83,M,lose weight,Low Calorie
37,93,1.64,M,lose weight,Low Calorie
37,82,1.89,M,lose weight,Low Calorie
37,30,1.84,M,gain weight,High Protein
10,30,1.25,F,lose weight,Low Calorie
10,31,1.77,M,lose weight,Low Calorie
29,78,1.77,F,lose weight,Low Calorie
37,37,1.37,M,maintain weight,Low Calorie
10,31,1.26,M,gain weight,High Protein
10,30,1.2,F,maintain weight,Lose Weight
38,77,1.27,F,maintain weight,High Protein
39,80,1.5,M,lose weight,High Protein
10,33,1.2,M,maintain weight,High Protein
31,71,1.63,F,lose weight,Lose Weight
12,39,1.73,F,lose weight,Low Calorie
10,36,1.31,F,lose weight,Lose Weight
30,82,1.83,F,lose weight,Low Calorie
15,33,1.2,M,gain weight,High Protein
10,43,1.34,M,gain weight,Maintain Weight
29,33,1.73,F,lose weight,Low Calorie
35,83,1.57,M,maintain weight,Low Calorie
10,30,1.2,F,lose weight,Lose Weight
44,30,1.25,M,maintain weight,Low Calorie
35,38,1.88,M,maintain weight,Low Calorie
16,30,1.28,M,maintain weight,High Protein
16,45,1.21,F,maintain weight,High Protein
25,38,1.28,F,lose weight,Low Calorie
28,72,1.7,F,lose weight,Low Calorie
38,80,1.78,M,gain weight,Low Calorie
31,35,1.28,F,lose weight,Lose Weight
39,93,1.82,F,lose weight,Low Calorie
10,30,1.53,F,lose weight,Lose Weight
32,69,1.73,M,lose weight,Low Calorie
13,40,1.23,M,maintain weight,Low Calorie
10,30,1.32,M,gain weight,High Protein
39,71,1.62,F,lose weight,Low Calorie
44,86,1.83,F,lose weight,Low Calorie
36,69,1.8,F,lose weight,Low Calorie
40,59,1.73,M,lose weight,Low Calorie
32,30,1.34,M,lose weight,Low Calorie
30,83,1.84,F,lose weight,Lose Weight
16,35,1.2,M,maintain weight,Maintain Weight
10,37,1.27,M,maintain weight,High Protein
32,34,1.79,M,gain weight,High Protein
14,30,1.22,M,maintain weight,Low Calorie
12,83,1.73,F,lose weight,Lose Weight
34,30,1.39,F,lose weight,Low Calorie
33,67,1.62,M,gain weight,High Protein
26,30,1.21,F,lose weight,Lose Weight
34,30,1.68,M,maintain weight,High Protein
35,34,1.33,M,maintain weight,High Protein
11,40,1.28,F,lose weight,Low Calorie
10,37,1.2,M,gain weight,High Protein
10,34,1.54,M,gain weight,High Protein
34,72,1.79,M,lose weight,Low Calorie
36,84,1.83,M,lose weight,Low Calorie
10,30,1.25,F,maintain weight,Lose Weight
10,36,1.27,F,maintain weight,High Protein
40,33,1.74,F,lose weight,Low Calorie
10,30,1.26,M,maintain weight,Maintain Weight
10,41,1.24,F,lose weight,Low Calorie
31,67,1.84,F,lose weight,Low Calorie
31,77,1.62,F,lose weight,Low Calorie
36,48,1.71,F,lose weight,Low Calorie
13,36,1.31,F,lose weight,Low Calorie
34,81,1.54,M,lose weight,Low Calorie
34,47,1.77,M,gain weight,High Protein
11,32,1.3,F,lose weight,Low Calorie
35,31,1.26,M,lose weight,Low Calorie
41,34,1.28,F,lose weight,Low Calorie
16,36,1.26,M,gain weight,High Protein
36,87,1.75,M,lose weight,Low Calorie
10,30,1.25,M,maintain weight,Low Calorie
27,63,1.57,F,lose weight,Low Calorie
16,34,1.43,M,maintain weight,Low Calorie
10,30,1.27,F,maintain weight,Lose Weight
36,82,1.33,F,lose weight,Low Calorie
31,79,1.82,F,lose weight,Lose Weight
31,76,1.82,F,lose weight,Low Calorie
38,32,1.26,M,lose weight,Low Calorie
34,30,1.66,M,lose weight,Low Calorie
36,72,1.63,F,lose weight,Low Calorie
31,63,1.74,F,lose weight,Lose Weight
34,61,1.86,M,lose weight,Low Calorie
36,87,1.59,F,lose weight,Low Calorie
43,78,1.87,M,lose weight,Low Calorie
30,35,1.24,M,maintain weight,Maintain Weight
10,35,1.29,M,gain weight,High Protein
10,30,1.29,M,gain weight,High Protein
37,33,1.77,M,maintain weight,High Protein
10,30,1.22,M,maintain weight,High Protein
26,35,1.31,M,maintain weight,High Protein
10,36,1.2,M,maintain weight,High Protein
10,30,1.69,F,lose weight,Low Calorie
36,87,1.86,M,lose weight,Low Calorie
16,40,1.28,M,maintain weight,Low Calorie
34,35,1.2,M,maintain weight,High Protein
32,38,1.64,M,gain weight,High Protein
33,73,1.65,F,lose weight,Low Calorie
33,41,1.28,M,lose weight,Low Calorie
10,34,1.29,M,gain weight,High Protein
11,41,1.25,M,lose weight,Low Calorie
34,61,1.27,M,lose weight,Low Calorie
38,62,1.89,F,lose weight,Low Calorie
34,32,1.34,M,lose weight,Low Calorie
35,44,1.32,M,gain weight,High Protein
38,64,1.79,M,lose weight,Low Calorie
29,70,1.3,F,lose weight,High Protein
38,92,1.8,M,lose weight,High Protein
10,31,1.24,F,lose weight,Lose Weight
34,65,1.73,M,gain weight,High Protein
10,34,1.2,M,gain weight,Maintain Weight
34,77,1.42,F,lose weight,Low Calorie
42,86,1.84,F,lose weight,Low Calorie
33,75,1.58,F,lose weight,Low Calorie
28,34,1.61,F,lose weight,Low Calorie
34,30,1.22,M,lose weight,Low Calorie
15,44,1.71,M,lose weight,Low Calorie
27,32,1.25,M,maintain weight,Low Calorie
